Maxi Prin Strs,Mini Prin Strs,Sa,Sm,Sn',Sn,b,b',N',N,Predicted,Cycles
-72920,-325100,126144.25,-198955.75,262.7838816,480.0303932,-0.840361287,-1.189964382,1.263237877,0.757244799,757204.9,757244.7992
-72811.5,-324964.5,126130.75,-198833.75,262.6233553,480.2724033,-0.840345794,-1.189986321,1.263874746,0.75678687,756732.9,756786.8696
-72703,-324829,126117.25,-198711.75,262.4628289,480.5147095,-0.840330299,-1.190008264,1.264512393,0.756328874,756261,756328.8737
-72594.5,-324693.5,126103.75,-198589.75,262.3023026,480.7573122,-0.840314802,-1.19003021,1.265150822,0.755870811,755788.94,755870.8115
-72486,-324558,126090.25,-198467.75,262.1417763,481.0002121,-0.840299303,-1.190052159,1.265790032,0.755412683,755317.06,755412.683
-72377.5,-324422.5,126076.75,-198345.75,261.98125,481.2434096,-0.840283803,-1.190074111,1.266430025,0.754954488,754845.06,754954.4883
-72269,-324287,126063.25,-198223.75,261.8207237,481.4869053,-0.840268301,-1.190096067,1.267070804,0.754496227,754373.1,754496.2273
-72160.5,-324151.5,126049.75,-198101.75,261.6601974,481.7306998,-0.840252797,-1.190118025,1.267712368,0.7540379,753901.2,754037.9002
-72052,-324016,126036.25,-197979.75,261.4996711,481.9747937,-0.840237292,-1.190139987,1.26835472,0.753579507,753429.25,753579.5068
-71943.5,-323880.5,126022.75,-197857.75,261.3391447,482.2191874,-0.840221785,-1.190161952,1.268997861,0.753121047,752957.3,753121.0474
-71835,-323745,126009.25,-197735.75,261.1786184,482.4638815,-0.840206277,-1.19018392,1.269641793,0.752662522,752485.4,752662.5218
-71726.5,-323609.5,125995.75,-197613.75,261.0180921,482.7088766,-0.840190766,-1.190205891,1.270286517,0.75220393,752013.5,752203.9301
-71618,-323474,125982.25,-197491.75,260.8575658,482.9541732,-0.840175255,-1.190227866,1.270932035,0.751745272,751541.5,751745.2724
-71509.5,-323338.5,125968.75,-197369.75,260.6970395,483.1997719,-0.840159741,-1.190249843,1.271578347,0.751286549,751069.56,751286.5486
-71401,-323203,125955.25,-197247.75,260.5365132,483.4456732,-0.840144226,-1.190271824,1.272225456,0.750827759,750597.56,750827.7588
-71292.5,-323067.5,125941.75,-197125.75,260.3759868,483.6918778,-0.840128709,-1.190293808,1.272873363,0.750368903,750125.6,750368.903
-71184,-322932,125928.25,-197003.75,260.2154605,483.9383861,-0.84011319,-1.190315795,1.273522069,0.749909981,749653.75,749909.9812
-71075.5,-322796.5,125914.75,-196881.75,260.0549342,484.1851987,-0.84009767,-1.190337785,1.274171576,0.749450994,749181.75,749450.9935
